Nome: VITORIA;;;;;;;;;;;;
Codigo Estacao: 83648;;;;;;;;;;;;
Latitude: -20.31583333;;;;;;;;;;;;
Longitude: -40.31694443;;;;;;;;;;;;
Altitude: 36.2;;;;;;;;;;;;
Situacao: Operante;;;;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;;;;
Data Final: 2020-12-31;;;;;;;;;;;;
Periodicidade da Medicao: Mensal;;;;;;;;;;;;
;;;;;;;;;;;;
Ano;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
1990;27.0;27.6;27.8;27.1;24.1;23.3;null;null;null;null;null;null
1991;null;null;null;null;null;null;null;null;null;null;null;null
1992;null;null;null;null;null;23.3;22.0;21.8;22.2;23.8;24.3;24.9
1993;26.86;27.32;27.72;26.1;23.9;22.1;22.8;22.0;23.6;24.3;25.7;26.0
1994;26.6;27.8;26.3;25.0;25.0;23.0;22.4;22.0;22.8;24.1;25.2;26.4
1995;27.9;27.9;27.2;25.3;24.3;23.2;23.1;23.7;23.4;24.2;24.5;25.4
1996;27.5;28.2;27.9;25.6;23.1;22.3;21.8;21.6;22.6;24.0;24.1;26.3
1997;26.6;26.6;25.2;24.92;23.2;23.1;22.4;22.7;24.0;24.4;26.3;27.1
1998;27.9;28.1;27.8;26.7;24.8;22.3;22.3;23.9;24.34;23.9;23.7;26.7
1999;27.8;27.8;26.7;25.4;23.4;22.8;22.1;21.7;23.0;22.4;22.9;25.7
2000;26.2;26.8;26.2;25.1;23.22;22.7;21.5;22.0;23.4;25.1;24.8;26.0
2001;27.0;27.8;27.4;26.7;24.0;23.1;null;null;null;23.5;24.9;25.72
2002;26.5;26.1;27.35;26.2;24.9;23.7;22.6;24.0;22.7;25.4;25.8;26.8
2003;27.2;28.2;27.9;26.3;24.1;24.3;23.0;22.2;22.8;22.9;22.5;26.2
2004;25.6;26.3;25.9;25.3;24.1;22.9;21.4;22.3;23.8;24.3;25.0;25.8
2005;26.9;26.2;26.7;26.4;24.4;22.8;22.0;23.4;22.9;25.6;23.9;25.3
2006;27.3;28.5;26.8;25.5;23.5;21.9;21.9;22.9;22.3;23.7;24.6;25.6
2007;26.6;26.5;27.7;26.2;23.6;23.32;23.1;22.7;22.79;24.7;25.5;26.3
2008;25.6;26.6;26.8;26.8;23.5;22.8;22.2;23.4;22.8;24.8;24.1;25.3
2009;26.5;27.8;27.4;25.4;24.1;22.3;23.0;22.6;24.8;25.0;26.9;null
2010;28.8;28.7;27.4;25.8;24.3;21.7;22.4;22.0;23.3;23.9;24.7;null
2011;27.4;27.85;26.0;25.7;23.5;22.3;23.0;23.1;22.4;23.5;23.3;25.1
2012;25.9;26.7;26.8;26.3;22.9;23.8;22.9;23.3;23.2;24.7;24.5;27.8
2013;26.9;27.5;26.8;24.96;24.1;23.8;22.6;22.9;23.5;23.9;24.8;25.7
2014;27.3;27.8;27.1;26.0;24.4;23.69;22.1;22.5;23.9;23.7;25.3;26.8
2015;28.0;28.0;27.6;26.1;23.6;23.4;23.4;23.3;25.0;25.7;27.3;28.0
2016;27.0;28.9;28.0;27.7;24.8;22.4;22.7;23.4;24.1;24.2;24.9;26.7
2017;28.0;27.63;27.1;25.6;23.7;23.7;21.1;21.7;22.6;25.0;24.5;26.1
2018;27.5;26.6;27.5;25.1;23.7;23.4;23.4;22.6;24.0;24.6;25.3;26.5
2019;28.4;28.6;28.1;27.3;25.9;24.1;22.5;22.2;24.08;25.3;25.3;26.5
2020;27.0;27.4;26.2;2.5;null;23.9;23.0;22.6;25.0;24.8;null;27.1
